"page","2013-04-01 pi","2013-04-01 pv","2013-05-01 pi","2013-05-01 pv","2013-06-01 pi","2013-06-01 pv","2013-07-01 pi","2013-07-01 pv","2013-08-01 pi","2013-08-01 pv","2013-09-01 pi","2013-09-01 pv","2013-10-01 pi","2013-10-01 pv","2013-11-01 pi","2013-11-01 pv","2013-12-01 pi","2013-12-01 pv","2014-01-01 pi","2014-01-01 pv","2014-02-01 pi","2014-02-01 pv","2014-03-01 pi","2014-03-01 pv","2014-04-01 pi","2014-04-01 pv","2014-05-01 pi","2014-05-01 pv","2014-06-01 pi","2014-06-01 pv","2014-07-01 pi","2014-07-01 pv","2014-08-01 pi","2014-08-01 pv","2014-09-01 pi","2014-09-01 pv","2014-10-01 pi","2014-10-01 pv","2014-11-01 pi","2014-11-01 pv","2014-12-01 pi","2014-12-01 pv","2015-01-01 pi","2015-01-01 pv","2015-02-01 pi","2015-02-01 pv","2015-03-01 pi","2015-03-01 pv","2015-04-01 pi","2015-04-01 pv","2015-05-01 pi","2015-05-01 pv","2015-06-01 pi","2015-06-01 pv","2015-07-01 pi","2015-07-01 pv","2015-08-01 pi","2015-08-01 pv","2015-09-01 pi","2015-09-01 pv","2015-10-01 pi","2015-10-01 pv","2015-11-01 pi","2015-11-01 pv","2015-12-01 pi","2015-12-01 pv","2016-01-01 pi","2016-01-01 pv","2016-02-01 pi","2016-02-01 pv","2016-03-01 pi","2016-03-01 pv","2016-04-01 pi","2016-04-01 pv","2016-05-01 pi","2016-05-01 pv","2016-06-01 pi","2016-06-01 pv","2016-07-01 pi","2016-07-01 pv","2016-08-01 pi","2016-08-01 pv","2016-09-01 pi","2016-09-01 pv","2016-10-01 pi","2016-10-01 pv","2016-11-01 pi","2016-11-01 pv","2016-12-01 pi","2016-12-01 pv","2017-01-01 pi","2017-01-01 pv","2017-02-01 pi","2017-02-01 pv","2017-03-01 pi","2017-03-01 pv","2017-04-01 pi","2017-04-01 pv","2017-05-01 pi","2017-05-01 pv","2017-06-01 pi","2017-06-01 pv","2017-07-01 pi","2017-07-01 pv","2017-08-01 pi","2017-08-01 pv","2017-09-01 pi","2017-09-01 pv","2017-10-01 pi","2017-10-01 pv","2017-11-01 pi","2017-11-01 pv","2017-12-01 pi","2017-12-01 pv","2018-01-01 pi","2018-01-01 pv","2018-02-01 pi","2018-02-01 pv","2018-03-01 pi","2018-03-01 pv","2018-04-01 pi","2018-04-01 pv","2018-05-01 pi","2018-05-01 pv","2018-06-01 pi","2018-06-01 pv"
"einwohnerinnnen-und-einwohner-den-ortsteilen-berlins-am-31122014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anzahl-der-umsatzsteuerpflichtigen-unternehmen-im-cluster-kommunikation-medien","3","2","2","2","4","4","3","3","4","3","1","1","1","1","6","6","3","3","6","6","2","2","2","1","2","2","2","1","9","6","3","3","2","2","4","3","3","2","1","1","8","5","4","3","4","4","2","2","3","3","2","2","4","4","6","4","1","1","4","4","8","7","3","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-620-stationäre","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-65-versorgungsgrad-mit-der","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"liste-der-badestellen-badegewässerqualität","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"europawahl-2014-berlin-nach-wahlbezirken-endgültiges-ergebnis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-55-benzol-und-ruß-der-außenluft","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","","","1","1","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"haushaltsplan-berlin-2008","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","2","2","1","1","1","1","6","4","1","1","2","2","1","1","","","1","1","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"berliner-weihnachtsmärkte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"liste-der-häufigen-vornamen-2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los72015-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"historie-ab-2008-summenlast-nicht-leistungsgemessene-kunden-berlin","","","","","4","3","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los72014-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-614-krankenhäuser-mit-tages-und","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsrelevante-verhaltensweisen-weitere","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bsr-straÃŸenreinigung-verzeichnisse-und-reinigungsklassen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anzahl-der-sozialversicherungspflichtig-beschäftigten-im-cluster-kommunikation-medien","2","2","1","1","9","7","5","5","4","4","2","2","","","","","","","4","3","4","3","1","1","1","1","4","2","3","3","2","2","2","2","2","2","2","2","1","1","1","1","4","3","2","2","2","2","1","1","2","2","2","2","","","","","","","2","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-510-dioxine-der-kuhmilch-und","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dbpedia-37","10","9","9","6","6","6","2","2","6","6","9","8","11","11","14","13","5","5","6","5","7","7","4","4","8","8","4","4","4","4","7","6","6","5","2","2","4","4","5","5","3","2","1","1","3","3","2","2","7","6","7","6","6","6","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los42015-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-kontext-schwangerschaftskonfliktberatungen-berlin-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los82015-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"standorte-von-altglascontainern-auf-öffentlichem-straßenland-charlottenburg-wilmersdor-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","10","8","7","5","4","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-kosten-kostenstruktur-von-krankenhäusern","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","6","6","1","1","3","3","","","","","","","","","","","","","","","","","","","","","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-kontext-basisbericht-gbe-berlin-2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","","","","","","","","","","","","","","","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vbb-fahrplandaten-september-2015-bis-d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-3110-verletzungen-und","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"www.statistik-berlin-brandenburg","","","","","8","6","","","1","1","1","1","","","","","","","","","1","1","2","2","","","","","1","1","","","","","","","","","","","","","","","1","1","7","5","2","2","","","2","2","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-117-aufwendungen-für-leistungen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los72012-berlin","","","","","3","3","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vbb-fahrplan-2013","1","1","4","4","1","1","1","1","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","3","3","1","1","2","1","3","2","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-72-schwangerschaftsabbrüche","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"einwohnerinnen-mit-migrationshintergrund-am-ort-ihrer-hauptwohnung-berlin-am-31122011","","","","","","","","","","","3","3","3","3","7","5","1","1","7","7","10","8","5","3","38","35","4","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preisblatt-mehr-mindermengen-berlin","","","","","3","2","","","","","","","","","","","","","2","2","4","2","2","1","","","2","2","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-112-kostenstrukturanalyse-je","","","","","","","","","","","","","","","","","","","","","2","1","4","3","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anzahl-erwerbstätiger-im-cluster-kommunikation-medien-kulturwirtschaft-2005-2008","3","3","4","3","6","5","1","1","","","1","1","3","3","2","2","1","1","4","2","2","2","2","2","","","2","2","6","4","5","4","2","2","4","4","","","","","","","4","4","1","1","3","1","2","2","3","3","3","3","3","3","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lebensweltilich-orientierte-räume-lor-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los112014-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los42014-berlin","","","","","3","3","","","","","","","","","","","1","1","","","","","","","","","","","1","1","2","2","2","2","1","1","1","1","","","1","1","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"liste-der-häufigen-vornamen-1984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"abschlussprüfungen-hochschulen-2009http:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-kontext-schwangerschaftskonfliktberatungen-berlin-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preisblatt-entgelte-kwk-einspeisung-berlin","","","","","4","3","","","","","1","1","","","","","","","","","2","2","1","1","","","","","","","1","1","1","1","1","1","","","","","","","","","","","1","1","","","1","1","1","1","2","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"anzahl-der-sozialversicherungspflichtig-beschäftigten-im-cluster-ikt-medien","2","2","1","1","8","7","24","19","3","3","3","3","1","1","2","2","3","2","2","2","2","2","2","2","","","3","2","3","2","5","3","2","2","5","3","3","3","2","2","1","1","3","3","2","1","1","1","","","","","","","2","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-719-inanspruchnahme-ambulanter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-ausgewählte-im","","","","","","","","","","","","","","","","","","","","","2","2","2","2","","","","","","","","","4","2","3","2","","","3","3","2","2","","","1","1","3","2","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"simple-search-übung-schulz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","22","4","2","2","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rbs-blÃ¶cke-dezember-2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","1","1","1","1","3","3","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los52015-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-inanspruchnahme-von-leistungen-der-8","","","","","","","","","","","","","","","","","","","","","","","10","9","8","7","3","3","4","4","3","3","2","2","1","1","","","","","","","","","2","2","3","3","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"historie-ab-2008-differenzbilanzierung-berlin","","","","","","","1","1","","","1","1","1","1","2","2","2","2","","","","","","","1","1","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"www.vbb.de","150","132","102","91","23","16","10","7","6","4","4","3","6","5","1","1","4","3","5","3","4","3","5","3","10","9","4","4","10","6","2","2","4","4","2","2","","","","","","","2","2","","","9","7","4","3","9","6","19","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vbb-fahrplandaten-dezember-2014-bis-dezember-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","21","8","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-nac-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","8","","","","","","","","","","","","","","","","","8","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prüfberichte-der-berliner-heimaufsicht","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-32-sterbefälle-nach","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los82013-berlin","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los32014-berlin","","","","","5","3","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","1","1","1","1","2","1","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"geometrien-der-europawahl-berlin-2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los92013-berlin","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-91-auszubildende-schulen-des","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"summenlast-nicht-leistungsgemessene-kunden-2011-berlin","","","","","2","2","","","","","","","5","5","","","2","2","","","","","","","","","","","","","2","2","2","2","3","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"historie-ab-2008-summe-einspeisung-mittelspannung-berlin","","","","","15","14","","","","","1","1","","","","","","","","","","","","","","","","","","","1","1","1","1","2","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vorwahl-und-strukturdaten-2011","7","6","8","7","7","6","7","7","4","4","11","9","3","3","4","2","2","2","","","","","","","1","1","","","1","1","","","","","3","2","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los22014-berlin","","","","","2","2","1","1","","","1","1","","","","","","","","","","","2","2","","","","","","","1","1","1","1","2","2","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"als-naturdenkmale-geschützte-bäume-charlottenburg-wilmersdorf-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"los62013-berlin","","","","","3","2","","","","","","","","","","","","","","","","","1","1","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-369-gemeldete-neuerkrankungen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-47-mittlerer-täglicher","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","2","2","3","3","1","1","1","1","1","1","","","","","","","","","","","2","2","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-66-dialyseplätze-hämodialyse","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"liste-der-verbannten-bücher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-322-die-häufigsten-diagnosen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-116-drg-fallpauschalen-erlöse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
